,Name,Total
0,Manny Pina,16.0
1,Tommy Pham,3.0
2,Michael Brantley,25.0
3,Michael Perez,28.0
4,Daniel Vogelbach,3.0
5,Matt Beaty,5.0
6,Victor Robles,3.0
7,Alan Trejo,7.0
8,Eric Sogard,11.0
9,Yoan Moncada,11.0
10,Ty France,21.0
11,Keston Hiura,13.0
12,Dylan Carlson,9.0
13,Jake Cave,14.0
14,Alex Bregman,29.0
15,Pete Alonso,8.0
16,Sheldon Neuse,10.0
17,Nick Maton,10.0
18,Kyle Seager,26.0
19,Sam Haggerty,29.0
20,Cavan Biggio,13.0
21,Roberto Perez,7.0
22,Charlie Culberson,5.0
23,Eric Hosmer,6.0
24,Elvis Andrus,10.0
25,Jason Castro,18.0
26,AJ Pollock,13.0
27,Brandon Belt,8.0
28,Corey Dickerson,15.0
29,Mark Canha,20.0
30,Elias Diaz,7.0
31,Kolten Wong,12.0
32,C.J. Cron,6.0
33,Chris Taylor,5.0
34,Joey Gallo,6.0
35,Carlos Correa,22.0
36,Matt Olson,14.0
37,Jeff McNeil,3.0
38,Rowdy Tellez,10.0
39,Chance Sisco,10.0
40,Rhys Hoskins,36.0
41,Alex Verdugo,10.0
42,Ramon Laureano,8.0
43,Rafael Devers,14.0
44,Willie Calhoun,17.0
45,Will Smith,8.0
46,Yuli Gurriel,16.0
47,Nick Solak,8.0
48,Jose Rojas,3.0
49,Yadiel Hernandez,12.0
50,Austin Hays,8.0
51,Yordan Alvarez,21.0
52,Nate Lowe,8.0
53,Evan White,10.0
54,Nico Hoerner,13.0
55,Andrew Vaughn,3.0
56,Corey Seager,10.0
57,Kyle Schwarber,10.0
58,Myles Straw,14.0
59,Kyle Tucker,19.0
60,Fernando Tatis Jr.,28.0
61,Albert Pujols,14.0
62,Starlin Castro,11.0
63,Justin Upton,3.0
64,Andrew McCutchen,9.0
65,Randal Grichuk,20.0
66,Michael A. Taylor,3.0
67,Nick Castellanos,5.0
68,Hanser Alberto,3.0
69,Jon Berti,16.0
70,Rougned Odor,16.0
71,Marcus Semien,10.0
72,Trevor Story,10.0
73,Jorge Soler,7.0
74,Raimel Tapia,13.0
75,Harold Castro,3.0
76,Victor Reyes,3.0
77,Willians Astudillo,3.0
78,Aaron Judge,7.0
79,Jose Abreu,5.0
80,Willi Castro,14.0
81,Yermin Mercedes,5.0
82,Kevin Newman,16.0
83,Mike Brosseau,18.0
84,Luis Robert,7.0
85,Jonathan India,3.0
86,Jason Heyward,16.0
87,Giancarlo Stanton,3.0
88,Justin Turner,7.0
89,Sandy Leon,3.0
90,Aaron Hicks,14.0
91,Marwin Gonzalez,5.0
92,Freddy Galvis,3.0
93,Paul Goldschmidt,3.0
94,Nolan Arenado,5.0
95,Wil Myers,20.0
96,Jurickson Profar,5.0
97,Kevin Kiermaier,5.0
98,Jesus Aguilar,16.0
99,Bryce Harper,9.0
100,J.T. Realmuto,7.0
101,Eddie Rosario,10.0
102,Xander Bogaerts,3.0
103,Maikel Franco,3.0
104,Tommy La Stella,3.0
105,Alex Dickerson,7.0
106,Gregory Polanco,7.0
107,Francisco Lindor,3.0
108,Mike Zunino,14.0
109,Erik Gonzalez,5.0
110,Jose Ramirez,10.0
111,Jesse Winker,3.0
112,Mookie Betts,9.0
113,Matt Duffy,3.0
114,Pedro Severino,7.0
115,Manuel Margot,7.0
116,Mike Yastrzemski,14.0
117,Victor Caratini,3.0
118,Ryan McMahon,16.0
119,Trey Mancini,7.0
120,Tim Anderson,3.0
121,Garrett Cooper,5.0
122,Kris Bryant,5.0
123,J.D. Davis,3.0
124,Michael Conforto,14.0
125,Isiah Kiner-Falefa,3.0
126,Yandy Diaz,3.0
127,Gleyber Torres,3.0
128,DJ Stewart,3.0
129,Ian Happ,5.0
130,Cedric Mullins,5.0
131,Andrew Stevenson,7.0
132,Jared Walsh,3.0
133,Lourdes Gurriel Jr.,3.0
134,Garrett Hampson,8.0
135,Adolis Garcia,3.0
136,Randy Arozarena,5.0
137,Bryan Reynolds,3.0
138,Tommy Edman,5.0
139,Andrew Knizner,7.0
140,Shohei Ohtani,14.0
141,Taylor Trammell,7.0
142,Nick Madrigal,7.0
143,Alejandro Kirk,3.0
144,Jed Lowrie,18.0
145,Didi Gregorius,5.0
146,Josh Harrison,5.0
147,J.P. Crawford,3.0
148,Trea Turner,3.0
149,Todd Frazier,8.0
150,Wilson Ramos,0.0
151,Carlos Santana,0.0
152,Nelson Cruz,0.0
153,Mitch Moreland,4.0
154,Anthony Rizzo,7.0
155,Joey Votto,2.0
156,Josh Donaldson,2.0
157,Robbie Grossman,0.0
158,Kyle Higashioka,0.0
159,Wilmer Flores,0.0
160,J.D. Martinez,4.0
161,Salvador Perez,0.0
162,Alex Avila,8.0
163,Miguel Rojas,0.0
164,Charlie Blackmon,2.0
165,Kurt Suzuki,2.0
166,Buster Posey,2.0
167,Brock Holt,0.0
168,DJ LeMahieu,0.0
169,Jonathan Villar,0.0
170,Billy Hamilton,0.0
171,Tucker Barnhart,0.0
172,Jose Iglesias,0.0
173,Cesar Hernandez,0.0
174,Gio Urshela,2.0
175,Adam Duvall,0.0
176,Adam Eaton,0.0
177,Jonathan Schoop,0.0
178,Whit Merrifield,0.0
179,Jake Marisnick,0.0
180,Yasmani Grandal,0.0
181,Manny Machado,0.0
182,Willson Contreras,0.0
183,Joe Panik,0.0
184,Travis Shaw,0.0
185,Scott Schebler,0.0
186,Eugenio Suarez,0.0
187,James McCann,0.0
188,Brandon Nimmo,4.0
189,Phillip Evans,4.0
190,Cam Gallagher,0.0
191,Jackie Bradley Jr.,0.0
192,Josh Bell,6.0
193,Jorge Polanco,4.0
194,Robel Garcia,0.0
195,Max Muncy,4.0
196,Omar Narvaez,6.0
197,Tyler Naquin,0.0
198,Stephen Piscotty,0.0
199,Roman Quinn,2.0
200,Jeimer Candelario,0.0
201,Tyrone Taylor,4.0
202,David Dahl,0.0
203,Kevin Plawecki,0.0
204,Anthony Bemboom,0.0
205,Rio Ruiz,0.0
206,Albert Almora Jr.,0.0
207,Byron Buxton,0.0
208,Mitch Haniger,0.0
209,Lewis Brinson,0.0
210,Franmil Reyes,0.0
211,Franchy Cordero,0.0
212,David Bote,0.0
213,Brett Phillips,0.0
214,Yu Chang,0.0
215,Kyle Farmer,2.0
216,JaCoby Jones,0.0
217,Dom Nunez,0.0
218,Jonathan Davis,2.0
219,Hunter Dozier,0.0
220,Jake Bauers,0.0
221,Adam Frazier,0.0
222,Mike Tauchman,0.0
223,Justin Williams,2.0
224,Amed Rosario,0.0
225,Dominic Smith,0.0
226,Billy McKinney,0.0
227,Tyler O'Neill,4.0
228,Jose Marmolejos,4.0
229,Yonathan Daza,0.0
230,Luis Torrens,2.0
231,Clint Frazier,2.0
232,Willy Adames,0.0
233,Mark Payton,0.0
234,Austin Slater,2.0
235,Jordan Luplow,0.0
236,Christian Arroyo,0.0
237,Luis Guillorme,0.0
238,Matt Chapman,4.0
239,Mauricio Dubon,0.0
240,Luis Urias,2.0
241,Jason Vosler,0.0
242,Jose Trevino,0.0
243,Josh Fuentes,0.0
244,Colin Moran,0.0
245,Magneuris Sierra,6.0
246,Jorge Mateo,5.0
247,Andrew Benintendi,4.0
248,Sam Hilliard,0.0
249,David Fletcher,0.0
250,Paul DeJong,0.0
251,Jake Cronenworth,11.0
252,Austin Dean,0.0
253,Edwin Rios,0.0
254,Trent Grisham,0.0
255,Luis Arraez,0.0
256,Josh Naylor,0.0
257,Brandon Lowe,4.0
258,Corey Ray,4.0
259,Nicky Lopez,0.0
260,Eli White,0.0
261,DJ Peters,0.0
262,Sean Murphy,0.0
263,Luke Raley,0.0
264,Chas McCormick,2.0
265,Vladimir Guerrero Jr.,0.0
266,Bo Bichette,2.0
267,Abraham Toro,0.0
268,Luis Rengifo,0.0
269,Andres Gimenez,0.0
270,Mickey Moniak,0.0
271,Bobby Dalbec,0.0
272,Santiago Espinal,0.0
273,Alex Kirilloff,0.0
274,Jazz Chisholm,0.0
275,Jose Devers,0.0
276,Alec Bohm,2.0
277,Akil Baddoo,0.0
278,Luis Campusano,2.0
279,Ryan Jeffers,2.0
0,Kenley Jansen,5.875
1,Justin Wilson,-0.14999999999999997
2,Jeurys Familia,6.25
3,Jake Odorizzi,0.225
4,Jose Cisnero,6.25
5,Anthony Bass,3.65
6,Bryan Shaw,3.05
7,Paolo Espino,2.25
8,Deolis Guerra,3.05
9,Dallas Keuchel,13.3
10,Rex Brothers,0.42500000000000016
11,Aaron Northcraft,7.300000000000001
12,Ryan Tepera,5.875
13,Scott Alexander,-0.975
14,Adam Kolarek,2.475
15,Brandon Workman,3.05
16,Heath Hembree,2.25
17,Hector Neris,3.65
18,Dan Winkler,3.65
19,Jacob Barnes,3.65
20,Blake Treinen,7.65
21,Andrew Kittredge,1.65
22,Shawn Armstrong,6.475
23,Kyle Crick,2.45
24,Dylan Floro,6.25
25,Richard Rodriguez,4.25
26,John Gant,24.5
27,Sal Romano,1.05
28,Robert Gsellman,10.15
29,Brent Suter,6.7
30,Josh Hader,5.65
31,J.B. Wendelken,0.45
32,Duane Underwood Jr.,7.875
33,Giovanny Gallegos,3.9
34,Scott Barlow,4.25
35,Kyle Finnegan,4.25
36,Keynan Middleton,6.25
37,Adam Plutko,2.25
38,Aaron Bummer,3.65
39,Sam Clay,3.05
40,Ryan Borucki,0.45
41,Ryan Yarbrough,20.7
42,J.P. Feyereisen,1.65
43,Ryan Thompson,8.675
44,Tim Hill,1.85
45,Austin Brice,3.65
46,Genesis Cabrera,4.25
47,Tanner Scott,2.45
48,Dillon Tate,4.5
49,Tyler Kinley,3.65
50,Josh Staumont,6.25
51,Devin Smeltzer,13.050000000000002
52,Jordan Sheffield,2.25
53,Jonathan Loaisiga,2.475
54,Anthony Castro,8.25
55,James Karinchak,8.25
56,Ben Bowden,1.2750000000000001
57,Codi Heuer,3.05
58,Kevin Gausman,36.199999999999996
59,Matthew Boyd,20.2
60,Gerrit Cole,37.95
61,Chris Flexen,28.15
62,Brady Singer,31.95
63,Trevor Cahill,17.1
64,Kyle Gibson,16.7
65,Joe Ross,19.299999999999997
66,Pablo Lopez,23.7
67,Kent Emanuel,24.85
68,Shane Bieber,25.55
69,Wade Miley,9.3
70,Chris Bassitt,24.099999999999998
71,Trevor Bauer,28.5
72,Blake Snell,16.075000000000003
73,John King,2.5500000000000003
74,Ben Rowen,-0.27499999999999936
75,Adbert Alzolay,17.050000000000004
76,Robbie Ray,21.9
77,Freddy Peralta,15.4
78,Aaron Nola,15.549999999999999
79,Josh Taylor,5.499999999999999
80,Antonio Senzatela,5.8500000000000005
81,Michael Pineda,7.025000000000002
82,Liam Hendriks,7.65
83,Nathan Eovaldi,1.25
84,Yimi Garcia,-0.95
85,Marcus Stroman,3.0
86,Wandy Peralta,1.05
87,Devin Williams,3.65
88,Will Vest,-0.95
89,Connor Brogdon,1.0499999999999998
90,Tyler Wells,3.5000000000000004
91,Phillips Valdez,-0.5250000000000002
92,Anthony Bemboom,-3.55
93,Stephen Tarpley,-6.3999999999999995
94,Steve Cishek,-2.5250000000000004
95,Wade LeBlanc,-5.5
96,Griffin Canning,-6.074999999999998
97,Junior Guerra,-1.5499999999999998
98,Pierce Johnson,-8.4
99,Brent Honeywell,-2.15
100,Gregory Santos,-7.8
101,Andrew Chafin,-4.75
102,Jordan Romano,-2.9749999999999996
103,Victor Gonzalez,-0.9749999999999999
104,Jhoulys Chacin,-7.95
