Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ARI,34,29.5,5.20,20,816,707,104,159,27,4,27,97,6,2,93,191,.225,.322,.389,.711,95,275,13,11,0,5,5,157
ATL,33,27.9,4.79,19,717,615,91,140,31,3,28,86,4,1,77,170,.228,.323,.424,.747,97,261,10,13,4,8,6,127
BAL,30,27.1,3.79,19,688,632,72,140,32,2,17,69,7,1,47,190,.222,.277,.359,.636,80,227,6,3,2,4,1,113
BOS,29,28.1,5.33,21,791,715,112,202,48,3,26,98,10,2,58,174,.283,.342,.467,.809,125,334,18,10,1,7,3,140
CHC,34,29.6,4.68,19,699,599,89,129,24,5,27,86,11,4,71,193,.215,.313,.407,.720,100,244,15,17,5,6,1,114
CHW,29,28.0,5.16,19,730,645,98,165,32,2,20,90,13,1,69,166,.256,.336,.405,.741,112,261,12,11,1,4,0,136
CIN,31,29.0,6.05,19,745,655,115,171,34,4,32,109,2,4,66,180,.261,.337,.472,.809,110,309,8,12,6,6,2,125
CLE,27,27.0,3.78,18,659,584,68,121,25,2,23,65,11,1,65,155,.207,.289,.375,.664,85,219,13,3,2,3,3,111
COL,27,28.2,4.37,19,678,622,83,145,30,6,24,78,10,5,44,170,.233,.285,.416,.701,81,259,6,3,4,5,5,102
DET,32,28.1,3.30,20,698,636,66,135,23,4,24,66,5,0,52,197,.212,.274,.374,.649,83,238,14,4,0,4,1,111
HOU,34,29.0,4.74,19,728,655,90,162,34,2,21,85,6,1,55,140,.247,.312,.402,.714,102,263,19,10,0,7,1,129
KCR,30,29.5,4.72,18,657,581,85,141,28,5,19,80,18,5,59,144,.243,.314,.406,.721,101,236,7,5,3,7,2,115
LAA,33,30.6,5.06,18,691,628,91,168,23,3,26,80,6,1,49,163,.268,.327,.438,.764,113,275,16,8,2,4,5,122
LAD,30,28.8,4.85,20,785,670,97,161,38,4,25,91,6,1,88,184,.240,.339,.421,.760,113,282,14,15,6,6,5,154
MIA,30,29.5,4.05,19,715,639,77,148,32,4,13,74,13,4,59,181,.232,.304,.355,.660,83,227,9,10,2,5,0,126
MIL,30,28.7,4.26,19,718,634,81,133,19,3,25,78,10,2,64,207,.210,.297,.368,.665,82,233,9,16,1,3,3,127
MIN,33,28.9,4.50,18,675,600,81,150,32,1,20,76,7,1,56,166,.250,.321,.407,.728,111,244,13,10,2,7,1,128
NYM,28,28.2,3.40,15,543,474,51,116,20,2,11,48,3,1,51,120,.245,.330,.365,.695,97,173,12,11,4,3,1,118
NYY,31,29.5,3.68,19,706,620,70,130,21,0,22,65,4,0,81,168,.210,.304,.350,.654,90,217,17,3,2,0,1,123
OAK,31,30.0,4.65,20,739,642,93,142,24,5,26,85,18,3,73,176,.221,.313,.396,.709,108,254,11,16,2,6,1,131
PHI,32,29.0,3.89,19,692,611,74,150,27,2,19,70,12,1,61,189,.245,.320,.390,.710,97,238,15,10,2,8,6,132
PIT,32,28.0,3.70,20,737,655,74,147,33,3,15,72,7,3,70,177,.224,.307,.353,.660,83,231,9,9,1,2,0,144
SDP,33,27.7,3.68,22,836,725,81,168,27,2,21,76,20,7,92,181,.232,.323,.361,.685,96,262,25,9,2,6,4,164
SEA,30,27.5,4.30,20,709,624,86,132,31,1,21,83,10,3,69,190,.212,.296,.365,.661,94,228,11,8,2,5,0,113
SFG,31,31.3,3.70,20,724,645,74,140,30,2,27,72,9,1,67,180,.217,.294,.395,.690,95,255,20,5,4,3,6,122
STL,31,28.8,4.74,19,707,622,90,139,22,3,26,81,4,3,66,180,.223,.306,.394,.700,96,245,13,10,4,5,6,113
TBR,34,27.4,4.85,20,775,685,97,159,39,2,22,90,6,3,73,201,.232,.313,.391,.704,107,268,14,10,2,5,0,132
TEX,31,26.7,4.05,20,750,662,81,146,16,3,23,77,15,5,68,218,.221,.304,.358,.662,88,237,13,13,4,3,1,130
TOR,33,26.3,4.16,19,698,624,79,141,19,1,23,73,10,2,56,169,.226,.297,.370,.668,89,231,13,10,1,6,0,118
WSN,35,29.2,3.24,17,605,547,55,133,25,1,14,53,7,4,43,143,.243,.305,.369,.674,87,202,8,8,2,5,4,117
LgAvg,31,28.6,4.36,19,714,632,84,147,28,3,22,78,9,2,65,175,.233,.311,.392,.703,97,248,13,9,2,5,2,126
,938,28.6,4.36,574,21411,18953,2505,4413,846,84,667,2353,270,72,1942,5263,.233,.311,.392,.703,97,7428,383,283,73,148,74,3794