,APPGa,APPG,pj_vO,pj_vOa,APPGa_1-6,APPG_1-6,pj_vO_1-6,pj_vOa_1-6,APPGa_1-5,APPG_1-5,pj_vO_1-5,pj_vOa_1-5,APPGa_1-4,APPG_1-4,pj_vO_1-4,pj_vOa_1-4,APPGa_1-3,APPG_1-3,pj_vO_1-3,pj_vOa_1-3,Name_APPGa,Total_APPGa,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_pj_vOa,Total_pj_vOa,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_pj_vOa_1-6,Total_pj_vOa_1-6,Name_APPGa_1-5,Total_APPGa_1-5,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_pj_vOa_1-5,Total_pj_vOa_1-5,Name_APPGa_1-4,Total_APPGa_1-4,Name_APPG_1-4,Total_APPG_1-4,Name_pj_vO_1-4,Total_pj_vO_1-4,Name_pj_vOa_1-4,Total_pj_vOa_1-4,Name_APPGa_1-3,Total_APPGa_1-3,Name_APPG_1-3,Total_APPG_1-3,Name_pj_vO_1-3,Total_pj_vO_1-3,Name_pj_vOa_1-3,Total_pj_vOa_1-3
0,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adolis Garcia,Adolis Garcia,Avisail Garcia,Avisail Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Bo Bichette,Bo Bichette,Bo Bichette,Bo Bichette,Adolis Garcia,19.0,Adolis Garcia,19.0,Avisail Garcia,9.0,Avisail Garcia,9.0,Adolis Garcia,19.0,Adolis Garcia,19.0,Adolis Garcia,19.0,Adolis Garcia,19.0,Adolis Garcia,19.0,Adolis Garcia,19.0,Adolis Garcia,19.0,Adolis Garcia,19.0,Adolis Garcia,19.0,Adolis Garcia,19.0,Adolis Garcia,19.0,Adolis Garcia,19.0,Bo Bichette,7.0,Bo Bichette,7.0,Bo Bichette,7.0,Bo Bichette,7.0
2,Isiah Kiner-Falefa,Isiah Kiner-Falefa,Javier Baez,Javier Baez,Alec Bohm,Alec Bohm,Avisail Garcia,Avisail Garcia,Freddy Galvis,Freddy Galvis,Avisail Garcia,Avisail Garcia,Connor Joe,Connor Joe,Avisail Garcia,Avisail Garcia,Jeimer Candelario,Jeimer Candelario,Joe Musgrove,Joe Musgrove,Isiah Kiner-Falefa,17.0,Isiah Kiner-Falefa,17.0,Javier Baez,7.0,Javier Baez,7.0,Alec Bohm,7.0,Alec Bohm,7.0,Avisail Garcia,9.0,Avisail Garcia,9.0,Freddy Galvis,0.0,Freddy Galvis,0.0,Avisail Garcia,9.0,Avisail Garcia,9.0,Connor Joe,2.0,Connor Joe,2.0,Avisail Garcia,9.0,Avisail Garcia,9.0,Jeimer Candelario,3.0,Jeimer Candelario,3.0,Joe Musgrove,17.25,Joe Musgrove,17.25
3,Max Scherzer,Max Scherzer,Kolten Wong,Kolten Wong,Freddy Galvis,Max Scherzer,Javier Baez,Javier Baez,Max Scherzer,Max Scherzer,Javier Baez,Javier Baez,Freddy Galvis,Freddy Galvis,Javier Baez,Javier Baez,Michael Chavis,Michael Chavis,Josh Donaldson,Josh Donaldson,Max Scherzer,27.45,Max Scherzer,27.45,Kolten Wong,6.0,Kolten Wong,6.0,Freddy Galvis,0.0,Max Scherzer,27.45,Javier Baez,7.0,Javier Baez,7.0,Max Scherzer,27.45,Max Scherzer,27.45,Javier Baez,7.0,Javier Baez,7.0,Freddy Galvis,0.0,Freddy Galvis,0.0,Javier Baez,7.0,Javier Baez,7.0,Michael Chavis,0.0,Michael Chavis,0.0,Josh Donaldson,14.0,Josh Donaldson,14.0
4,Michael Chavis,Michael Chavis,Kris Bryant,Kris Bryant,Jake Cronenworth,Michael Chavis,Lorenzo Cain,Lorenzo Cain,Michael Chavis,Michael Chavis,Lorenzo Cain,Lorenzo Cain,J.T. Realmuto,J.T. Realmuto,Jeimer Candelario,Jeimer Candelario,Mitch Haniger,Mitch Haniger,Kolten Wong,Kolten Wong,Michael Chavis,0.0,Michael Chavis,0.0,Kris Bryant,20.0,Kris Bryant,20.0,Jake Cronenworth,7.0,Michael Chavis,0.0,Lorenzo Cain,5.0,Lorenzo Cain,5.0,Michael Chavis,0.0,Michael Chavis,0.0,Lorenzo Cain,5.0,Lorenzo Cain,5.0,J.T. Realmuto,6.0,J.T. Realmuto,6.0,Jeimer Candelario,3.0,Jeimer Candelario,3.0,Mitch Haniger,16.0,Mitch Haniger,16.0,Kolten Wong,6.0,Kolten Wong,6.0
5,Mitch Haniger,Mitch Haniger,Kyle Higashioka,Kyle Higashioka,Max Scherzer,Miguel Rojas,Michael Chavis,Michael Chavis,Nick Solak,Nick Solak,Michael Chavis,Michael Chavis,Jeimer Candelario,Jeimer Candelario,Lorenzo Cain,Lorenzo Cain,Robbie Grossman,Robbie Grossman,Kris Bryant,Kris Bryant,Mitch Haniger,16.0,Mitch Haniger,16.0,Kyle Higashioka,4.0,Kyle Higashioka,4.0,Max Scherzer,27.45,Miguel Rojas,14.0,Michael Chavis,0.0,Michael Chavis,0.0,Nick Solak,7.0,Nick Solak,7.0,Michael Chavis,0.0,Michael Chavis,0.0,Jeimer Candelario,3.0,Jeimer Candelario,3.0,Lorenzo Cain,5.0,Lorenzo Cain,5.0,Robbie Grossman,14.0,Robbie Grossman,14.0,Kris Bryant,20.0,Kris Bryant,20.0
6,Nick Solak,Nick Solak,Lorenzo Cain,Lorenzo Cain,Michael Chavis,Teoscar Hernandez,Nick Solak,Nick Solak,Starlin Castro,Starlin Castro,Nick Solak,Nick Solak,Max Scherzer,Max Scherzer,Max Scherzer,Max Scherzer,Tommy Edman,Tommy Edman,Lorenzo Cain,Lorenzo Cain,Nick Solak,7.0,Nick Solak,7.0,Lorenzo Cain,5.0,Lorenzo Cain,5.0,Michael Chavis,0.0,Teoscar Hernandez,0.0,Nick Solak,7.0,Nick Solak,7.0,Starlin Castro,4.0,Starlin Castro,4.0,Nick Solak,7.0,Nick Solak,7.0,Max Scherzer,27.45,Max Scherzer,27.45,Max Scherzer,27.45,Max Scherzer,27.45,Tommy Edman,8.0,Tommy Edman,8.0,Lorenzo Cain,5.0,Lorenzo Cain,5.0
7,Starlin Castro,Starlin Castro,Max Scherzer,Max Scherzer,Mitch Haniger,Tommy Edman,Travis Shaw,Travis Shaw,Teoscar Hernandez,Teoscar Hernandez,Travis Shaw,Travis Shaw,Nick Solak,Nick Solak,Michael Chavis,Michael Chavis,Tyler Glasnow,Tyler Glasnow,Michael Chavis,Michael Chavis,Starlin Castro,4.0,Starlin Castro,4.0,Max Scherzer,27.45,Max Scherzer,27.45,Mitch Haniger,16.0,Tommy Edman,8.0,Travis Shaw,0.0,Travis Shaw,0.0,Teoscar Hernandez,0.0,Teoscar Hernandez,0.0,Travis Shaw,0.0,Travis Shaw,0.0,Nick Solak,7.0,Nick Solak,7.0,Michael Chavis,0.0,Michael Chavis,0.0,Tyler Glasnow,30.4,Tyler Glasnow,30.4,Michael Chavis,0.0,Michael Chavis,0.0
8,Teoscar Hernandez,Teoscar Hernandez,Michael Chavis,Michael Chavis,Teoscar Hernandez,Tyler Glasnow,Tyler Glasnow,Tyler Glasnow,Tyler Glasnow,Tyler Glasnow,Tyler Glasnow,Tyler Glasnow,Nomar Mazara,Nomar Mazara,Nick Solak,Nick Solak,Wade Miley,Wade Miley,Tyrone Taylor,Tyrone Taylor,Teoscar Hernandez,0.0,Teoscar Hernandez,0.0,Michael Chavis,0.0,Michael Chavis,0.0,Teoscar Hernandez,0.0,Tyler Glasnow,30.4,Tyler Glasnow,30.4,Tyler Glasnow,30.4,Tyler Glasnow,30.4,Tyler Glasnow,30.4,Tyler Glasnow,30.4,Tyler Glasnow,30.4,Nomar Mazara,5.0,Nomar Mazara,5.0,Nick Solak,7.0,Nick Solak,7.0,Wade Miley,-7.6499999999999995,Wade Miley,-7.6499999999999995,Tyrone Taylor,0.0,Tyrone Taylor,0.0
9,Tyler Glasnow,Tyler Glasnow,Travis Shaw,Travis Shaw,Tyler Glasnow,Willie Calhoun,Wade Miley,Wade Miley,Willie Calhoun,Willie Calhoun,Wade Miley,Wade Miley,Teoscar Hernandez,Teoscar Hernandez,Wade Miley,Wade Miley,Willie Calhoun,Willie Calhoun,Wade Miley,Wade Miley,Tyler Glasnow,30.4,Tyler Glasnow,30.4,Travis Shaw,0.0,Travis Shaw,0.0,Tyler Glasnow,30.4,Willie Calhoun,0.0,Wade Miley,-7.6499999999999995,Wade Miley,-7.6499999999999995,Willie Calhoun,0.0,Willie Calhoun,0.0,Wade Miley,-7.6499999999999995,Wade Miley,-7.6499999999999995,Teoscar Hernandez,0.0,Teoscar Hernandez,0.0,Wade Miley,-7.6499999999999995,Wade Miley,-7.6499999999999995,Willie Calhoun,0.0,Willie Calhoun,0.0,Wade Miley,-7.6499999999999995,Wade Miley,-7.6499999999999995
10,William Contreras,William Contreras,Wade Miley,Wade Miley,Yadier Molina,Yadier Molina,Willson Contreras,Willson Contreras,Yadier Molina,Yadier Molina,Willson Contreras,Willson Contreras,Tyler Glasnow,Tyler Glasnow,Willson Contreras,Willson Contreras,Willson Contreras,Willson Contreras,Willson Contreras,Willson Contreras,William Contreras,14.0,William Contreras,14.0,Wade Miley,-7.6499999999999995,Wade Miley,-7.6499999999999995,Yadier Molina,7.0,Yadier Molina,7.0,Willson Contreras,5.0,Willson Contreras,5.0,Yadier Molina,7.0,Yadier Molina,7.0,Willson Contreras,5.0,Willson Contreras,5.0,Tyler Glasnow,30.4,Tyler Glasnow,30.4,Willson Contreras,5.0,Willson Contreras,5.0,Willson Contreras,5.0,Willson Contreras,5.0,Willson Contreras,5.0,Willson Contreras,5.0
11,121.31000000000002,121.31000000000002,137.51999999999998,137.51999999999998,119.21,119.09,135.47,135.47,118.92,118.92,135.47,135.47,115.45,115.45,131.12,131.12,110.17000000000002,110.17000000000002,127.46999999999998,127.46999999999998,,134.85,,134.85,,70.8,,70.8,,113.85,,112.85,,74.75,,74.75,,94.85,,94.85,,74.75,,74.75,,99.85,,99.85,,74.8,,74.8,,75.75,,75.75,,66.6,,66.6
