Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2679214785,ajs1086,0,126.95,P Clayton Kershaw P Joe Musgrove SS Trevor Story OF Juan Soto C Gary S?nchez OF Shohei Ohtani 2B Josh Harrison 3B Josh Fuentes 1B Connor Joe OF Nomar Mazara,,Max Scherzer,P,50.00%,27.45
2,2679363281,Fatboyliquidbeef,0,124.5,P Tyler Glasnow P Corey Kluber SS Trevor Story OF Ram?n Laureano 2B Jed Lowrie OF Mitch Haniger OF Seth Brown C Elias D?az 3B Josh Fuentes 1B Connor Joe,,Joe Musgrove,P,40.00%,17.25
3,2679378317,Jvh1985,0,103.7,P Max Scherzer P Joe Musgrove 3B Alex Bregman OF Jesse Winker OF Juan Soto OF Kyle Schwarber 2B Luis Arraez C Elias D?az 1B Connor Joe SS Robel Garc?a,,Connor Joe,1B,40.00%,2
4,2679394726,weinhandlwins,0,101,P Corey Kluber P David Peterson OF Jesse Winker 3B Eugenio Su?rez 1B Mike Moustakas C Tucker Barnhart OF Andrew McCutchen SS Kyle Farmer OF Kyle Tucker 2B Luis Arraez,,Corey Kluber,P,30.00%,16.1
5,2679417068,nate_b_41,0,98.2,P Corey Kluber P Nick Pivetta 3B Alex Bregman 1B Yuli Gurriel SS Carlos Correa 2B David Bote OF Alex Verdugo OF Kyle Tucker OF Stephen Piscotty C Danny Jansen,,Trevor Story,SS,30.00%,19
6,2679383529,ONealRules,0,97.85,P Tyler Glasnow P Max Scherzer 1B Freddie Freeman 3B Eugenio Su?rez OF Teoscar Hern?ndez C Kyle Higashioka OF Willie Calhoun OF Andrew Young SS Ha-Seong Kim 2B Robel Garc?a,,Luis Arraez,2B,30.00%,3
7,2679413034,Torbo,0,95.7,P Max Scherzer P Joe Musgrove OF Randy Arozarena OF Jared Walsh C Tucker Barnhart OF Andrew McCutchen 1B Mitch Moreland 3B Starlin Castro SS Luis Ur?as 2B Luis Arraez,,Tyler Glasnow,P,20.00%,30.4
8,2679334615,BreadWinner81,0,88.8,P Max Scherzer P Wade Miley OF Yordan Alvarez 3B Mike Moustakas 2B Nick Solak 1B Jes?s Aguilar SS Isiah Kiner-Falefa OF Teoscar Hern?ndez C William Contreras OF Adolis Garc?a,,Clayton Kershaw,P,20.00%,24.7
9,2679398614,ansky23,0,85.95,P Clayton Kershaw P Joe Musgrove SS Trevor Story C Willson Contreras 2B Marcus Semien OF Amed Rosario 3B Cavan Biggio OF Avisa?l Garc?a 1B Connor Joe OF Trevor Larnach,,Wade Miley,P,20.00%,-7.65
10,2679256510,xxxStrat9xxx,0,74.8,P Max Scherzer P Wade Miley SS Javier B?ez C Willson Contreras 2B Nick Solak 3B Jeimer Candelario OF Lorenzo Cain OF Adolis Garc?a OF Avisa?l Garc?a 1B Michael Chavis,,Alex Bregman,3B,20.00%,2
,,,,,,,Willson Contreras,C,20.00%,5
,,,,,,,Jesse Winker,OF,20.00%,5
,,,,,,,Eugenio Su?rez,3B,20.00%,16
,,,,,,,Juan Soto,OF,20.00%,9
,,,,,,,Mike Moustakas,1B,20.00%,5
,,,,,,,Nick Solak,2B,20.00%,7
,,,,,,,Tucker Barnhart,C,20.00%,8
,,,,,,,Andrew McCutchen,OF,20.00%,7
,,,,,,,Teoscar Hern?ndez,OF,20.00%,0
,,,,,,,Kyle Tucker,OF,20.00%,14
,,,,,,,Adolis Garc?a,OF,20.00%,19
,,,,,,,Avisa?l Garc?a,OF,20.00%,9
,,,,,,,Elias D?az,C,20.00%,5
,,,,,,,Josh Fuentes,3B,20.00%,18
,,,,,,,Robel Garc?a,2B,20.00%,3
,,,,,,,Nick Pivetta,P,10.00%,21.1
,,,,,,,David Peterson,P,10.00%,26.9
,,,,,,,Javier B?ez,SS,10.00%,7
,,,,,,,Freddie Freeman,1B,10.00%,5
,,,,,,,Marcus Semien,2B,10.00%,7
,,,,,,,Gary S?nchez,C,10.00%,0
,,,,,,,Randy Arozarena,OF,10.00%,0
,,,,,,,Yordan Alvarez,OF,10.00%,5
,,,,,,,Ram?n Laureano,OF,10.00%,14
,,,,,,,Jed Lowrie,2B,10.00%,0
,,,,,,,Yuli Gurriel,1B,10.00%,11
,,,,,,,Jared Walsh,OF,10.00%,5
,,,,,,,Carlos Correa,SS,10.00%,15
,,,,,,,Shohei Ohtani,OF,10.00%,19
,,,,,,,David Bote,2B,10.00%,3
,,,,,,,Jes?s Aguilar,1B,10.00%,2
,,,,,,,Jeimer Candelario,3B,10.00%,3
,,,,,,,Isiah Kiner-Falefa,SS,10.00%,17
,,,,,,,Alex Verdugo,OF,10.00%,0
,,,,,,,Mitch Haniger,OF,10.00%,16
,,,,,,,Kyle Schwarber,OF,10.00%,30
,,,,,,,Amed Rosario,OF,10.00%,0
,,,,,,,Lorenzo Cain,OF,10.00%,5
,,,,,,,Cavan Biggio,3B,10.00%,2
,,,,,,,Kyle Farmer,SS,10.00%,0
,,,,,,,Mitch Moreland,1B,10.00%,5
,,,,,,,Kyle Higashioka,C,10.00%,4
,,,,,,,William Contreras,C,10.00%,14
,,,,,,,Josh Harrison,2B,10.00%,13
,,,,,,,Starlin Castro,3B,10.00%,4
,,,,,,,Luis Ur?as,SS,10.00%,19
,,,,,,,Willie Calhoun,OF,10.00%,0
,,,,,,,Seth Brown,OF,10.00%,4
,,,,,,,Andrew Young,OF,10.00%,10
,,,,,,,Stephen Piscotty,OF,10.00%,16
,,,,,,,Danny Jansen,C,10.00%,0
,,,,,,,Michael Chavis,1B,10.00%,0
,,,,,,,Ha-Seong Kim,SS,10.00%,2
,,,,,,,Nomar Mazara,OF,10.00%,5
,,,,,,,Trevor Larnach,OF,10.00%,0
