Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ARI,34,29.6,5.26,23,911,796,121,183,31,5,33,112,7,3,98,214,.230,.321,.406,.727,100,323,13,11,1,5,5,169
ATL,33,27.9,4.52,23,843,726,104,162,37,3,31,99,6,1,90,204,.223,.318,.410,.729,93,298,12,15,4,8,6,150
BAL,32,27.0,3.78,23,837,765,87,174,41,2,22,82,8,2,61,223,.227,.287,.373,.660,88,285,8,5,2,4,1,145
BOS,29,28.2,5.04,24,889,801,121,218,56,3,27,107,10,2,68,197,.272,.336,.451,.786,121,361,24,12,1,7,3,151
CHC,35,29.5,4.30,23,840,724,99,149,28,5,30,96,13,5,84,237,.206,.301,.383,.684,92,277,16,18,6,7,1,137
CHW,30,28.1,5.00,22,845,744,110,194,34,4,21,99,13,4,82,182,.261,.341,.402,.743,115,299,16,11,3,5,1,162
CIN,31,29.0,5.57,23,891,784,128,195,42,4,35,122,4,4,77,215,.249,.326,.446,.772,102,350,12,16,7,7,2,147
CLE,27,27.0,4.00,22,801,714,88,151,34,4,29,85,14,1,74,189,.211,.289,.392,.681,90,280,14,5,2,4,3,131
COL,27,28.1,4.65,23,833,759,107,179,33,8,30,102,11,5,59,202,.236,.291,.419,.710,85,318,8,3,5,7,5,125
DET,32,28.2,3.08,24,837,766,74,159,26,6,28,74,6,1,61,240,.208,.268,.367,.635,81,281,15,4,0,4,1,134
HOU,35,29.0,5.00,23,879,789,115,204,46,3,25,108,7,2,66,168,.259,.323,.420,.743,111,331,26,14,0,9,2,156
KCR,30,29.6,4.32,22,796,710,95,165,31,6,21,89,22,5,64,173,.232,.298,.382,.680,90,271,7,6,6,8,2,136
LAA,33,30.6,4.86,22,843,771,107,206,31,3,32,96,6,1,55,184,.267,.323,.440,.763,114,339,20,11,2,4,5,150
LAD,32,28.7,4.88,24,962,813,117,193,41,6,29,111,9,2,114,231,.237,.344,.410,.754,113,333,17,22,6,7,8,197
MIA,31,29.5,4.22,23,865,773,97,181,35,5,20,92,17,5,69,232,.234,.305,.370,.675,88,286,12,13,2,8,0,148
MIL,33,28.6,4.17,23,870,766,96,166,26,4,28,93,11,3,76,246,.217,.304,.371,.674,86,284,13,21,3,3,3,159
MIN,35,28.9,4.18,22,814,731,92,173,36,2,23,87,7,1,62,197,.237,.302,.386,.687,101,282,13,10,2,9,1,145
NYM,29,28.2,3.17,18,644,567,57,137,22,2,15,54,3,4,57,147,.242,.323,.367,.690,96,208,13,13,4,3,1,135
NYY,32,29.4,3.57,23,855,748,82,157,27,0,29,77,4,1,100,204,.210,.306,.362,.668,95,271,20,4,2,1,1,152
OAK,31,29.9,4.42,24,882,768,106,166,28,5,30,99,18,4,86,212,.216,.308,.383,.691,104,294,13,19,2,7,1,153
PHI,34,28.9,3.78,23,832,738,87,175,30,2,25,83,13,2,71,219,.237,.310,.385,.694,94,284,17,11,2,10,6,151
PIT,32,28.1,3.83,23,846,756,88,174,39,3,18,86,7,3,74,204,.230,.307,.361,.668,86,273,11,11,1,4,0,161
SDP,34,27.7,3.76,25,957,832,94,191,29,2,24,88,32,7,103,221,.230,.319,.356,.675,95,296,27,10,3,7,4,185
SEA,31,27.4,4.12,24,853,757,99,159,40,2,24,94,11,3,77,225,.210,.291,.363,.654,92,275,13,11,2,5,0,136
SFG,33,31.1,4.04,24,874,781,97,175,39,3,31,95,13,1,78,217,.224,.298,.401,.698,97,313,22,6,4,5,8,144
STL,31,28.6,4.48,23,841,749,103,168,28,3,28,94,5,3,72,206,.224,.299,.382,.681,93,286,16,10,5,5,6,135
TBR,36,27.4,4.46,24,919,815,107,186,44,3,25,99,7,4,83,239,.228,.307,.382,.688,104,311,14,12,3,6,0,164
TEX,32,26.8,4.00,24,894,796,96,183,20,3,29,92,18,5,75,257,.230,.307,.372,.679,93,296,19,15,4,4,1,154
TOR,33,26.3,4.18,22,808,723,92,166,22,1,27,85,11,2,65,193,.230,.300,.375,.675,91,271,17,11,1,7,0,137
WSN,35,29.3,3.35,20,719,646,67,157,27,1,18,65,7,5,53,169,.243,.310,.372,.681,90,240,10,12,2,6,4,138
LgAvg,32,28.6,4.28,23,849,754,98,175,33,3,26,92,11,3,75,208,.232,.309,.390,.699,97,294,15,11,3,6,3,150
,962,28.6,4.28,686,25480,22608,2933,5246,1003,103,787,2765,320,91,2254,6247,.232,.309,.390,.699,97,8816,458,342,87,176,81,4487